Date,Price,Open,High,Low,Volume,Chg%,VIX
"Mar 18, 2014","12,114.85","12,093.20","12,268.75","12,052.35",38.15M,0.49%,17.13
"Mar 14, 2014","12,055.85","11,984.50","12,090.05","11,867.15",34.69M,-0.71%,16.45
"Mar 13, 2014","12,141.45","12,062.35","12,308.70","12,062.35",34.35M,0.98%,16.82
"Mar 12, 2014","12,024.10","11,997.85","12,142.90","11,887.75",33.14M,-0.16%,17.04
"Mar 11, 2014","12,043.15","12,132.00","12,285.45","11,994.85",55.51M,-0.54%,17.33
"Mar 10, 2014","12,108.10","11,784.55","12,157.90","11,784.55",60.33M,1.88%,17.78
"Mar 07, 2014","11,884.75","11,357.90","11,947.50","11,332.60",70.90M,5.38%,16.72
"Mar 06, 2014","11,278.35","11,147.60","11,303.20","11,117.25",37.22M,1.62%,14.48
"Mar 05, 2014","11,098.80","10,987.60","11,122.55","10,899.40",46.41M,1.55%,13.84
"Mar 04, 2014","10,929.05","10,661.40","10,936.75","10,661.40",36.11M,2.60%,14.39
"Mar 03, 2014","10,651.95","10,705.45","10,836.20","10,613.00",24.14M,-1.05%,15.28
"Feb 28, 2014","10,764.70","10,793.60","10,793.60","10,688.95",23.18M,0.32%,14.18
"Feb 26, 2014","10,730.40","10,659.20","10,758.65","10,659.20",20.14M,0.60%,13.96
"Feb 25, 2014","10,666.75","10,742.15","10,768.95","10,611.75",19.07M,-0.16%,13.95
"Feb 24, 2014","10,683.50","10,508.95","10,711.65","10,471.45",21.31M,1.22%,14.36
"Feb 21, 2014","10,554.35","10,429.30","10,584.75","10,429.30",16.43M,1.21%,14.04
"Feb 20, 2014","10,428.30","10,515.30","10,525.70","10,419.10",24.22M,-1.71%,15.16
"Feb 19, 2014","10,609.60","10,548.35","10,630.15","10,520.30",20.19M,0.33%,15.07
"Feb 18, 2014","10,575.20","10,324.35","10,618.85","10,296.25",26.09M,2.41%,15.41
"Feb 17, 2014","10,326.55","10,217.15","10,358.00","10,205.80",20.00M,1.20%,15.83
"Feb 14, 2014","10,203.75","10,169.00","10,229.45","10,064.75",28.28M,0.67%,16.66
"Feb 13, 2014","10,135.70","10,360.70","10,386.65","10,113.80",25.80M,-2.06%,17.80
"Feb 12, 2014","10,348.80","10,307.60","10,395.15","10,307.60",24.11M,1.01%,17.43
"Feb 11, 2014","10,245.45","10,242.10","10,296.80","10,200.60",15.23M,0.31%,18.63
"Feb 10, 2014","10,213.90","10,287.35","10,310.30","10,187.80",17.97M,-0.48%,19.05
